Week Start,Monday,Tuesday,Wednesday,Thursday,Friday,A/B Days,,,,,
"Sep 1-5, 2025",,,Sep 3 (A),Sep 4 (B),Sep 5 (A),"A, B, A",,Quarter,Start Date,End Date,Duration
"Sep 8-12, 2025",Sep 8 (B),Sep 9 (A),Sep 10 (B),Sep 11 (A),Sep 12 (B),"B, A, B, A, B",,Q1,"September 3, 2025","November 7, 2025",46 days
"Sep 15-19, 2025",Sep 15 (A),Sep 16  (B),Sep 17 (A),Sep 18 (B),Sep 19 (A),"A, B, A, B, A",,Q2,"November 10, 2025","January 30, 2026",42 days
"Sep 22-26, 2025",Sep 22 (B),Sep 23 (No School,Sep 24(A),Sep 25 (B),Sep 26 (A),"B, A, B, A, ",,Q3,"February 2, 2026","April 10, 2026",43 days
"Sep 29-Oct 3, 2025",Sep 29 (B),Sep 30 (A),Oct 1 (B),Oct 2 (No School),Oct 3 (A),"B, A, B,A",,Q4,"April 13, 2026","June 11, 2026",43 days
"Oct 6-10, 2025",Oct 6 (B),Oct 7 (A),Oct 8 (B),Oct 9 (A),Oct 10 (B),"B, A, B, A,B",,,,,
"Oct 13-17, 2025",Oct 13 (A),Oct 14 (B),Oct 15 (A),Oct 16 (B),Oct 17 (A)," A, B, A, B,A",,,,,
"Oct 20-24, 2025",Oct 20 (B),Oct 21 (A),Oct 22 (B),Oct 23 (A),Oct 24 (B),"B, A, B, A,B",,,,,
"Oct 27- Oct. 31, 2025",Oct 27 (A),Oct 28 (B),Oct 29 (A),Oct 30 (B),Oct 31 (A - Noon Dismissal)," A, B, A, B,A",,the occurrences of half-day noon dismissals are:,,,
"Nov 3-7, 2025",Nov 3 (B),Nov 4 (A),Nov 5 (B),Nov 6 (A),Nov 7 (B),"B, A, B, A,B",,A Days: 2 occurrences,,,
"Nov 10-14, 2025",Nov 10 (A),Nov 11 (No School),Nov 12 (B),Nov 13 (A),Nov 14 (B)," A, B, A,B",,B Days: 3 occurrences,,,
"Nov 17-21, 2025",Nov 17 (A),Nov 18 (B),Nov 19 (A),Nov 20 (B),Nov 21 (A),"A, B, A, B,A",,,,,
"Nov 24-28, 2025",Thanksgiving Break,,,,,-,,,,,
"Dec 1-5, 2025",Dec 1 (B),Dec 2 (A),Dec 3 (B),Dec 4 (A),Dec 5 (B- Noon Dismissal)," B, A, B, A,B",,,,,
"Dec 8-12, 2025",Dec 8 (A),Dec 9 (B),Dec 10 (A),Dec 11 (B),Dec 12 (A)," A, B, A, B,A",,,,,
"Dec 15-19, 2025",Dec 15 (B),Dec 16 (A),Dec 17 (B),Dec 18 (A),Dec 19 (B- Noon Dismissal)," B, A, B, A,B",,,,,
"Dec 22-26, 2025",Winter Break,,,,,-,,,,,
Dec 29-Jan 2 2026,,,,,,-,,,,,
"Jan 6-10, 2026",Jan 5 (No School),Jan 6  (A),Jan 7 (B),Jan 8 (A),Jan 9 (B),"A, B, A,B",,,,,
"Jan 12-16, 2026",Jan 12 (A),Jan 13 (B),Jan 14 (A),Jan 15 (B),Jan 16 (A),"A, B, A, B, A",,,,,
"Jan 20-24, 2026",Jan 19 (No School),Jan 20 (B),Jan 21 (A),Jan 22 (B),Jan 23 (A),"B, A, B, A",,,,,
"Jan 26-30, 2026",Jan 26 (B),Jan 27 (A),Jan 28 (B),Jan 29 (A),Jan 30 (B),"B, A, B, A, B",,,,,
"Feb 2-6, 2026",Feb 2 (A),Feb 3 (B),Feb 4 (A),Feb 5 (B),Feb 6 (A),"A, B, A, B, A",,,,,
"Feb 10-14, 2026",Feb 9 (B),Feb 10 (A),Feb 11 (B),Feb 12 (A),Feb 13 (B),"B, A, B, A, B",,,,,
"Feb 16-20, 2026",Feb 16 (No School),Feb 17 (A),Feb 18 (B),Feb 19 (A),Feb 20 (B),"A, B, A,B",,,,,
"Feb 23-27, 2026",Feb 23 (A),Feb 24 (B),Feb 25 (A),Feb 26 (B),Feb 27 (A),"A, B, A, B, A",,,,,
"Mar 2-6, 2026",Mar 2 (B),Mar 3 (A),Mar 4 (B),Mar 5 (A),Mar 6 (B),"B, A, B, A, B",,,,,
"Mar 9-13, 2026",Mar 9 (A),Mar 10 (B),Mar 11 (A),Mar 12 (B),Mar 13 (A),"A, B, A, B, A",,,,,
"Mar 16-20, 2026",Mar 16 (B),Mar 17 (A),Mar 18 (B),Mar 19 (A),Mar 20 (B),"B, A, B, A, B",,,,,
"Mar 23-27, 2026",Spring Break,,,,,-,,,,,
"Mar 30-Apr 3, 2026",Mar 30 (A),Mar 31 (B),Apr 1 (A),Apr 2 (B),Apr 3 (No School),"A, B, A,B",,,,,
"Apr 6-10, 2026",Apr 6 (A),Apr 7 (B),Apr 8 (A),Apr 9 (B),Apr 10 (A),"A, B, A, B, A",,,,,
"Apr 13-17, 2026",Apr 13 (B),Apr 14 (A),Apr 15 (B),Apr 16 (A),Apr 17 (B),"B, A, B, A, B",,,,,
"Apr 20-24, 2026",Apr 20 (A),Apr 21 (B),Apr 22 (A),Apr 23 (B),Apr 24 (A),"A, B, A, B, A",,,,,
"Apr 27-May 1, 2026",Apr 27 (B),Apr 28 (A),Apr 29 (B),April 30 (A),May 1 (B),"B, A, B, A, B",,,,,
"May 4-8, 2026",May 4 (A),May 5 (B),May 6 (A),May 7 (B),May 8 (A),"A, B, A, B, A",,,,,
"May 11-15, 2026",May 11 (B),May 12 (A),May 13 (B),May 14 (A),May 15 (B),"B, A, B, A, B",,,,,
"May 18-22, 2026",May 18 (A),May 19 (B),May 20 (A),May 21 (B),May 22 (A - Noon Dismissal),"A, B, A, B, A",,,,,
"May 25-29, 2026",May 25 (No School),May 26 (B),May 27 (A),May 28 (B),May 29 (A),"B, A, B, A",,,,,
"Jun 1-5, 2026",Jun 1 (B),Jun 2 (A),Jun 3 (B),Jun 4 (A),Jun 5 (B),"B, A, B, A, B",,,,,
"Jun 8-12, 2026",Jun 8 (A),Jun 9  (B),Jun 10 (A),Jun 11 (B - Noon Dismissal),Jun 13 (No School),"A, B, A, B",,,,,
