Section,Item Type,Exp #,Experiment/Kit Name,Week(s),Unit,Standards,Key Concepts,Materials Needed,Cost,Vendor,SKU,Product URL,Procedure Summary,Variables Tested,Learning Goals,Safety Notes,Cross-Curricular Connections,Special Notes
EXPERIMENTS,Experiment,1,Paper Towel Absorbency Investigation,1-5,Scientific Inquiry,"SC.7.N.1.1, SC.7.N.1.4","Variables, controls, experimental design","Different brands of paper towels (3-4 brands), Graduated cylinders, Water, Ruler, Stopwatch",$15-20,Local Store,N/A,N/A,"1) Cut equal-sized squares from each brand. 2) Test variable: Brand of paper towel. 3) Outcome variable: Volume of water absorbed. 4) Controls: Water temperature, towel size, time. 5) Record data with multiple trials.","Independent: Brand of paper towel, Dependent: Volume absorbed, Controlled: Water temp, towel size, time","Understand experimental design, Identify variables, Practice data collection with replication, Calculate averages",Water spill is slip hazard,"Math: Averaging data, graphing results. ELA: Writing lab reports.",
EXPERIMENTS,Experiment,2,Pendulum Period Experiment,4-5,Scientific Inquiry,"SC.7.N.1.1, SC.7.N.1.2, SC.7.N.1.4","Controlled experiments, replication, variable identification","String (various lengths), Washers or masses, Protractor, Stopwatch, Ring stand or support",$25-30,Local Store,N/A,N/A,"Test three variables separately: 1) Does MASS affect period? (change # washers, keep length/angle constant). 2) Does RELEASE ANGLE affect period? (change angle, keep mass/length constant). 3) Does STRING LENGTH affect period? (change length, keep mass/angle constant). Measure time for 10 swings to reduce error. Divide by 10 for period.","Independent: String length (or mass, or angle), Dependent: Period (time per swing), Controlled: All other variables","Discover that only length affects pendulum period (not mass or angle!), Practice precise timing, Understand controlled experiments",Keep fingers from swinging pendulum path. Secure masses properly.,"Math: Calculating periods, graphing relationships, T=2π√(L/g). Physics: Simple harmonic motion.",Mass doesn't affect period - counterintuitive discovery!
EXPERIMENTS,Experiment,3,Bouncing Ball Heights,6,Scientific Inquiry,SC.7.N.1.6,"Empirical evidence, data collection","Various balls (basketball, tennis, golf, super ball), Meter stick, Different surface types",$20-30,Local Store,N/A,N/A,"Drop each ball from consistent height (suggest 100cm) onto different surfaces. Measure bounce height at peak. Calculate percent bounce = (bounce height ÷ drop height) × 100. Conduct 3 trials each. Compare ball types and surface types.","Independent: Ball type and surface type, Dependent: Bounce height, Controlled: Drop height, release method","Collect empirical evidence, Compare elastic vs inelastic collisions, Understand energy transformation (PE→KE→elastic→sound/heat)",Balls rolling are trip hazard.,"Math: Percent calculations. Physics: Energy conservation, elastic collisions.",Where does the 'lost' energy go? (Sound, heat, deformation)
EXPERIMENTS,Experiment,4,Crystal Growth Comparison,3-10,Scientific Inquiry,"SC.7.N.1.1, SC.7.N.1.7","Long-term data collection, variable effects","Alum/sugar/salt, Jars, String, Water, Hot plate",$20,Local Store,N/A,N/A,"Create saturated solutions of different substances. Suspend string in jars. Place in different locations (warm, cool, room temp). Observe daily for 2-3 weeks. Sketch crystals, measure dimensions, note changes. Compare growth rates and crystal structures.","Independent: Temperature, saturation level, time, container, Dependent: Crystal size and growth rate","Practice long-term observation, Understand saturation and crystallization, Maintain detailed observation logs",Hot water can burn - use heat-resistant gloves. Don't ingest chemicals.,"Math: Growth rate calculations (mm/day). Chemistry: Solubility, molecular structure.",Different substances form different crystal shapes based on molecular geometry
EXPERIMENTS,Experiment,5,Light Behavior Station Lab,8,Scientific Inquiry,SC.7.P.10.2,"Reflection, refraction, absorption","Laser pointers or flashlights, Mirrors, Prisms, Lenses, Water containers, Glass blocks",$40-50,Local Store,N/A,N/A,"Station 1: Reflection with plane mirror (measure angles). Station 2: Refraction through water (observe bending). Station 3: Prism dispersion (create rainbow spectrum). Station 4: Absorption/transmission through various materials.","Independent: Material type and light angle, Dependent: Light behavior (reflection angle, refraction angle, absorption)","Understand law of reflection, Observe refraction and dispersion, Identify absorption vs transmission",NEVER look directly into laser beam - permanent eye damage possible!,"Math: Measuring angles, Snell's Law calculations. Art: Rainbow formation, color theory.","Laser Ray Box Kit from Unit 3 can be used for this lab ($110, Arbor Scientific P2-7680)"
EXPERIMENTS,Experiment,6,Earth Layers Egg Model,22-24,Earth Science,SC.7.E.6.1,"Earth's structure (crust, mantle, core)","Hard-boiled eggs, Plastic knives, Food coloring (optional)",$5-10,Local Store,N/A,N/A,"Cut hard-boiled egg in half to show cross-section. Identify layers: Shell=Crust (thin, brittle), White=Mantle (thickest, can flow), Yolk=Core (dense center). Measure thickness of each layer. Compare egg proportions to actual Earth proportions.","N/A - modeling activity, not experiment with variables","Visualize Earth's internal structure, Understand density-based layering, Practice scale modeling",Use plastic knives only. Eggs can be slippery.,"Math: Calculating ratios and proportions. Scale modeling.","Egg is reasonable model but NOT to scale - actual Earth crust is much thinner relatively"
EXPERIMENTS,Experiment,7,Edible Rock Cycle,25-27,Earth Science,SC.7.E.6.2,"Rock cycle, metamorphic processes","Starburst candies or crayons, Aluminum foil, Hot plate or heat lamp, Wax paper, Books (for pressure)",$15-20,Local Store,N/A,N/A,"1) SEDIMENTARY: Layer different colored candies, apply pressure with books. 2) METAMORPHIC: Heat and pressure using hot plate and weight. 3) IGNEOUS: Melt completely, then cool. Observe changes in texture and appearance at each stage.","N/A - demonstration of rock cycle processes","Understand rock cycle transformations, Observe effects of heat and pressure, Connect to real geological processes",Hot plate causes burns - teacher supervision required.,"Chemistry: Phase changes, states of matter.","Can use Rocks and Resources Kit (Home Science Tools SU-ROCKRE, $49.95) for additional materials"
EXPERIMENTS,Experiment,8,Sugar Cube Weathering,26,Earth Science,SC.7.E.6.2,"Weathering, erosion","Sugar cubes, Water, Vinegar, Sandpaper, Cups, Scale",$10-15,Local Store,N/A,N/A,"Test different weathering methods: 1) Chemical weathering (submerge in vinegar). 2) Physical weathering (shake in cup with pebbles). 3) Mechanical breakdown (rub with sandpaper). Weigh sugar cubes before and after. Measure mass loss over time.","Independent: Weathering method, Dependent: Mass loss over time, Controlled: Initial sugar cube size, time duration","Understand chemical vs physical weathering, Measure weathering rate, Connect to real rock weathering",Vinegar can irritate eyes - goggles required.,"Math: Calculate percent mass loss. Earth Science: Weathering in nature.",Sugar cubes model rocks - same weathering processes occur in nature but over millions of years
EXPERIMENTS,Experiment,9,Rock & Mineral ID Lab,25-27,Earth Science,SC.7.E.6.2,"Mineral identification, scientific classification","Rock Collection Kit (see kit recommendations), Mohs hardness kit, Streak plates, Hand lenses, Identification charts","$42-370 (depending on kit)",Carolina Biological,"GEO108 (budget) or GEO90 (comprehensive)","https://www.carolina.com/earth-science-rocks-minerals/","Test each mineral for: 1) Hardness using Mohs scale. 2) Streak color on streak plate. 3) Luster (metallic/non-metallic). 4) Cleavage or fracture. 5) Color and special properties. Use identification key to determine mineral names.","Independent: Mineral sample, Dependent: Observable properties (hardness, streak, luster, etc)","Practice scientific classification, Use dichotomous keys, Understand mineral properties",Handle rocks carefully - some can have sharp edges.,"Math: Mohs scale numerical ranking. Logic: Using dichotomous keys.","Budget kit ($42.30) includes basics, Comprehensive kit ($369.80) for full year, Mohs Hardness Kit ($173.90, GEO8690) recommended"
EXPERIMENTS,Experiment,10,Fossil Layer Cake,28-32,Earth Science,"SC.7.E.6.3, SC.7.E.6.4","Law of superposition, relative dating","Different colored cake/brownie layers, Plastic fossils or candy, Clear plastic container",$20-25,Local Store,N/A,N/A,"Bake layers representing different time periods. Embed 'fossils' (plastic toys or candy) in each layer before stacking. Students examine layers and use law of superposition to determine relative age of each fossil. Bottom layers = oldest, top = youngest.","N/A - demonstration of geological principle","Understand law of superposition, Practice relative dating, Interpret rock layers like geologists",Standard food safety precautions.,"History: Geological time periods. ELA: Creating geological timelines.","Can use materials from Beneath Our Feet Kit (Home Science Tools SU-BENEAT, $49.95)"
